item_id,value,w1,w2
1,1012,961,216
2,815,455,829
3,579,373,283
4,753,894,733
5,945,748,572
6,785,488,988
7,778,760,68
8,1047,423,577
9,496,971,478
10,641,153,706
11,690,376,332
12,634,120,305
13,508,955,286
14,551,177,657
15,507,7,109
16,823,983,837
17,978,219,638
18,820,224,382
19,736,510,736
20,589,518,8
21,382,18,535
22,673,380,863
23,713,444,677
24,568,620,442
25,785,371,873
26,807,320,208
27,1003,931,128
28,811,210,488
29,707,242,207
30,882,16,476
31,918,186,720
32,486,305,235
33,554,380,723
34,699,876,971
35,580,538,359
36,561,534,578
37,1007,280,919
38,772,656,760
39,613,74,955
40,919,835,289
41,752,743,279
42,826,464,567
43,742,185,239
44,463,445,495
45,852,893,544
46,638,395,114
47,1012,999,880
48,686,55,704
49,895,212,321
50,785,255,512
51,1081,425,880
52,920,953,848
53,638,828,379
54,778,478,641
55,658,209,757
56,658,920,74
57,1062,933,545
58,816,483,957
59,919,610,487
60,766,492,642
61,894,697,15
62,806,423,325
63,1029,283,891
64,436,605,785
65,944,658,444
66,656,346,312
67,881,739,962
68,1119,402,266
69,827,422,480
70,482,386,782
71,874,711,657
72,1064,526,991
73,706,996,948
74,620,109,698
75,807,532,47
76,983,707,597
77,892,622,748
78,1170,718,938
79,968,903,656
80,779,500,95
81,980,204,806
82,1032,889,518
83,539,390,268
84,901,876,406
85,437,564,463
86,1068,583,826
87,810,652,15
88,461,480,459
89,977,172,337
90,1063,960,947
91,426,271,118
92,661,797,898
93,868,803,950
94,874,252,371
95,1031,650,887
96,460,144,159
97,571,90,91
98,544,111,12
99,793,465,741
100,701,258,925
101,813,798,518
102,864,992,767
103,577,752,21
104,533,448,106
105,595,482,870
106,598,296,122
107,1047,809,524
108,501,428,708
109,764,359,812
110,679,243,227
111,893,610,309
112,783,621,618
113,521,443,797
114,503,336,327
115,617,203,364
116,550,143,482
117,877,914,156
118,1130,776,8
119,367,208,459
120,917,154,967
121,957,711,81
122,914,72,354
123,895,930,224
124,823,427,870
125,526,689,180
126,565,446,972
127,984,606,658
128,732,213,596
129,1185,950,664
130,682,877,304
131,597,291,975
132,971,589,562
133,931,856,40
134,1214,625,881
135,675,212,216
136,997,433,787
137,779,698,91
138,850,922,239
139,1006,657,607
140,581,390,732
141,901,448,391
142,904,600,67
143,919,869,262
144,494,763,144
145,452,457,126
146,409,259,11
147,620,680,799
148,795,641,526
149,1154,854,802
150,951,279,701
151,427,474,114
152,863,215,764
153,547,384,737
154,405,289,195
155,444,156,706
156,632,647,823
157,463,379,313
158,923,325,642
159,669,871,871
160,534,50,833
161,495,484,595
162,563,499,794
163,1151,577,649
164,901,148,834
165,1024,404,264
166,631,45,750
167,936,507,889
168,1056,656,682
169,578,345,252
170,875,570,681
171,1089,571,632
172,1270,873,756
173,884,57,348
174,501,31,932
175,741,602,259
176,664,454,42
177,1078,982,984
178,625,242,642
179,837,957,605
180,892,755,864
181,941,24,489
182,916,854,871
183,569,453,787
184,700,814,514
185,840,533,625
186,742,541,556
187,900,533,638
188,828,752,901
189,811,721,469
190,720,513,884
191,714,102,275
192,1065,936,174
193,881,150,836
194,924,593,92
195,490,932,146
196,1071,951,972
197,982,842,612
198,745,13,685
199,1094,990,777
200,779,478,703
201,649,106,817
202,653,280,224
203,1273,992,869
204,557,423,749
205,667,482,524
206,616,775,53
207,870,433,61
208,755,101,712
209,931,962,157
210,590,93,900
211,399,419,519
212,883,364,705
213,1005,888,281
214,922,564,408
215,582,542,375
216,513,449,147
217,543,176,121
218,612,211,831
219,1042,428,724
220,349,304,127
221,996,923,976
222,876,475,355
223,550,818,640
224,1030,639,347
225,732,146,467
226,504,392,413
227,628,283,483
228,834,277,625
229,589,233,22
230,627,431,918
231,648,876,630
232,1207,602,793
233,1069,636,610
234,613,244,181
235,990,215,992
236,582,614,790
237,773,75,736
238,991,984,815
239,388,81,444
240,566,225,818
241,735,317,556
242,521,308,770
243,862,770,140
244,453,150,137
245,852,733,450
246,627,313,191
247,399,79,253
248,637,565,853
249,449,607,265
250,694,140,787
251,491,297,835
252,694,125,406
253,517,553,138
254,873,442,165
255,913,12,54
256,1013,966,879
257,788,650,463
258,760,118,277
259,573,111,379
260,569,904,625
261,698,395,636
262,779,205,673
263,924,622,755
264,426,381,625
265,284,567,351
266,951,182,934
267,685,321,609
268,554,983,609
269,511,620,542
270,467,42,56
271,486,506,270
272,694,994,983
273,690,247,380
274,806,840,74
275,883,729,773
276,882,983,127
277,724,745,12
278,851,846,21
279,722,568,118
280,688,421,785
281,648,563,385
282,332,86,193
283,589,77,547
284,709,231,522
285,990,3,771
286,880,22,652
287,807,539,852
288,715,678,563
289,766,812,90
290,761,221,44
291,849,143,954
292,584,101,844
293,678,806,575
294,746,846,94
295,573,11,470
296,855,279,135
297,427,275,280
298,890,431,709
299,914,637,191
300,610,97,812
301,1047,421,711
302,639,710,842
303,797,765,653
304,818,455,863
305,819,856,263
306,789,560,942
307,643,336,353
308,514,303,60
309,1055,930,726
310,658,441,848
311,681,911,449
312,736,223,894
313,504,525,473
314,942,267,191
315,794,255,301
316,967,744,906
317,790,793,595
318,732,591,70
319,884,959,458
320,660,111,687
321,1175,761,739
322,735,764,379
323,587,196,497
324,580,943,337
325,903,540,704
326,727,706,14
327,396,300,415
328,874,712,522
329,571,344,68
330,875,317,265
331,688,811,451
332,788,557,119
333,971,909,756
334,692,51,620
335,858,385,489
336,717,537,916
337,765,527,124
338,685,564,341
339,818,648,753
340,888,511,663
341,527,426,26
342,803,452,154
343,994,183,278
344,483,756,165
345,558,179,809
346,364,353,695
347,854,408,472
348,965,974,103
349,795,802,377
350,607,901,366
351,663,233,777
352,692,784,570
353,900,601,929
354,785,339,17
355,660,333,696
356,1098,692,41
357,775,27,93
358,1088,673,720
359,903,912,247
360,531,135,251
361,732,333,445
362,761,90,203
363,612,812,428
364,975,691,436
365,515,646,395
366,752,200,830
367,879,527,529
368,866,816,788
369,644,854,10
370,1336,868,776
371,719,504,12
372,613,575,546
373,1264,959,855
374,368,838,570
375,1068,622,654
376,621,452,774
377,855,494,336
378,1000,938,224
379,636,591,373
380,773,265,73
381,624,968,95
382,651,240,705
383,949,488,800
384,990,562,725
385,681,412,469
386,639,154,998
387,621,170,173
388,709,949,540
389,604,525,791
390,789,708,956
391,1068,903,173
392,711,189,281
393,1046,780,730
394,948,221,961
395,841,320,634
396,227,91,241
397,636,247,325
398,860,367,368
399,761,750,470
400,732,211,928
401,568,635,562
402,991,176,589
403,655,297,570
404,615,655,499
405,951,315,900
406,468,327,648
407,909,636,177
408,978,158,464
409,570,574,56
410,662,70,370
411,846,181,179
412,683,459,351
413,716,122,395
414,779,969,176
415,486,485,304
416,1232,725,1000
417,828,482,600
418,729,946,738
419,959,876,954
420,732,505,761
421,725,648,822
422,1110,841,618
423,327,498,185
424,834,626,606
425,990,963,906
426,732,102,749
427,569,869,750
428,1105,844,663
429,745,991,986
430,535,64,515
431,919,550,631
432,541,595,279
433,604,184,549
434,593,953,966
435,711,202,36
436,678,943,122
437,478,940,59
438,580,255,164
439,519,265,998
440,494,67,941
441,367,107,96
442,814,251,261
443,854,801,770
444,993,658,426
445,972,687,743
446,426,519,324
447,665,688,312
448,735,897,202
449,855,611,80
450,796,65,653
451,801,403,463
452,1101,954,281
453,967,141,722
454,846,714,362
455,426,88,60
456,1012,381,408
457,939,140,479
458,715,814,917
459,808,246,319
460,783,71,13
461,1108,448,794
462,472,641,77
463,730,360,812
464,779,880,283
465,721,251,561
466,705,510,858
467,415,180,418
468,831,662,201
469,865,875,666
470,721,262,119
471,446,22,749
472,780,19,939
473,650,149,175
474,985,674,401
475,785,699,427
476,626,998,130
477,704,680,273
478,816,162,379
479,1132,959,937
480,686,885,172
481,659,807,334
482,566,625,535
483,899,717,59
484,1019,613,324
485,942,573,699
486,765,966,997
487,736,770,126
488,760,199,976
489,743,5,615
490,893,660,820
491,578,552,358
492,880,155,644
493,767,544,605
494,727,524,480
495,865,476,134
496,844,929,410
497,705,102,551
498,629,687,361
499,977,510,427
500,716,764,398
