item_id,value,w1,w2
1,616,597,25
2,480,878,416
3,656,67,491
4,946,626,148
5,860,982,286
6,972,931,505
7,630,13,250
8,427,404,298
9,806,582,56
10,577,352,134
11,808,576,659
12,902,7,222
13,1142,707,409
14,373,90,80
15,725,357,535
16,906,960,863
17,879,702,2
18,919,675,4
19,936,345,421
20,838,998,208
21,788,961,33
22,449,69,318
23,1117,419,458
24,645,346,175
25,761,567,875
26,995,773,636
27,1048,911,495
28,1025,940,577
29,661,308,793
30,665,645,703
31,1053,997,752
32,697,494,288
33,782,585,605
34,581,503,215
35,610,544,758
36,769,113,395
37,672,94,289
38,763,426,349
39,430,528,324
40,662,825,769
41,935,828,652
42,775,599,768
43,869,607,746
44,1018,874,637
45,740,722,731
46,660,160,884
47,928,771,851
48,850,1000,537
49,592,948,529
50,908,581,190
51,693,801,207
52,483,399,888
53,547,130,726
54,821,262,384
55,388,99,448
56,495,190,93
57,750,70,153
58,735,583,93
59,1164,871,788
60,534,252,932
61,706,571,341
62,652,775,755
63,737,64,607
64,622,16,564
65,853,205,477
66,833,999,564
67,965,520,94
68,513,82,26
69,927,197,695
70,1047,475,323
71,541,724,371
72,791,163,348
73,402,346,417
74,731,418,126
75,837,294,412
76,594,693,530
77,534,190,527
78,198,101,15
79,939,649,922
80,594,442,893
81,461,838,760
82,423,777,146
83,223,71,346
84,440,246,292
85,740,543,435
86,715,36,999
87,951,962,254
88,887,435,147
89,783,968,732
90,832,714,925
91,1245,451,657
92,842,744,322
93,837,603,951
94,525,813,362
95,881,382,804
96,535,985,294
97,477,611,344
98,842,685,517
99,535,595,627
100,694,277,906
101,901,597,48
102,662,901,168
103,693,779,775
104,726,954,99
105,459,782,73
106,846,361,470
107,1089,878,250
108,762,240,774
109,627,817,99
110,484,561,176
111,584,782,964
112,653,520,755
113,976,397,846
114,614,695,311
115,698,611,704
116,1014,994,110
117,794,415,495
118,545,368,865
119,625,918,269
120,778,441,801
121,760,933,934
122,790,748,628
123,919,436,509
124,947,824,290
125,652,870,29
126,791,405,340
127,778,560,488
128,550,537,317
129,774,698,40
130,853,338,436
131,715,151,654
132,635,401,851
133,739,116,404
134,909,600,85
135,945,570,167
136,938,917,118
137,1087,834,770
138,519,509,66
139,880,454,250
140,832,626,889
141,798,129,729
142,526,724,992
143,652,363,744
144,465,40,978
145,935,393,765
146,680,688,966
147,859,966,238
148,919,900,676
149,371,20,681
150,800,841,912
151,751,47,132
152,778,752,246
153,571,845,437
154,770,423,538
155,841,162,921
156,762,699,565
157,662,498,728
158,805,809,655
159,677,374,282
160,1025,687,971
161,706,569,988
162,493,420,288
163,771,127,102
164,1226,191,948
165,336,12,331
166,890,541,963
167,676,147,499
168,562,653,692
169,710,636,253
170,805,93,17
171,692,831,39
172,776,924,274
173,918,783,367
174,752,847,845
175,683,983,46
176,909,458,683
177,751,34,851
178,525,330,461
179,472,464,382
180,549,180,439
181,1002,756,514
182,735,807,754
183,633,598,108
184,734,255,403
185,1076,864,746
186,529,234,64
187,844,212,100
188,877,842,987
189,870,672,639
190,561,48,501
191,1125,998,666
192,613,100,621
193,804,841,203
194,579,621,273
195,817,472,604
196,862,647,6
197,959,595,301
198,1078,762,377
199,963,189,276
200,470,105,678
201,597,70,555
202,397,265,499
203,673,904,943
204,769,934,443
205,1099,795,783
206,563,560,737
207,705,171,974
208,709,648,485
209,936,807,570
210,939,887,222
211,586,216,431
212,738,849,262
213,439,385,491
214,1119,994,929
215,957,450,172
216,674,486,528
217,519,589,261
218,302,61,148
219,880,26,190
220,731,452,508
221,810,704,332
222,666,291,292
223,559,779,601
224,868,784,134
225,553,339,294
226,507,12,271
227,505,460,191
228,970,496,945
229,681,771,834
230,823,377,127
231,471,545,249
232,701,634,428
233,311,222,370
234,645,705,296
235,1065,585,922
236,472,560,89
237,650,237,415
238,922,729,426
239,773,622,650
240,692,824,266
241,884,642,208
242,524,78,207
243,587,350,618
244,745,653,354
245,877,489,82
246,684,898,196
247,815,187,620
248,1053,863,836
249,496,366,438
250,889,776,576
251,846,757,272
252,592,995,495
253,777,498,654
254,684,936,598
255,1037,994,366
256,973,698,172
257,957,861,998
258,417,193,394
259,437,611,528
260,319,35,29
261,820,570,354
262,447,337,165
263,733,767,491
264,733,248,253
265,800,693,987
266,654,941,192
267,604,107,641
268,787,593,719
269,1016,613,912
270,515,361,826
271,887,896,511
272,912,851,631
273,700,210,414
274,704,775,754
275,667,83,879
276,901,597,339
277,946,13,504
278,863,624,540
279,218,26,301
280,696,448,272
281,810,514,397
282,656,403,971
283,594,644,58
284,919,733,428
285,464,550,125
286,404,297,442
287,677,325,26
288,840,379,592
289,995,416,641
290,764,380,363
291,1089,764,750
292,954,751,705
293,570,385,565
294,450,362,667
295,779,269,625
296,637,531,34
297,617,755,286
298,610,494,348
299,765,181,395
300,810,698,787
301,1008,947,202
302,587,233,841
303,664,26,479
304,692,704,991
305,823,623,197
306,1137,610,966
307,764,110,244
308,836,956,953
309,933,261,181
310,688,579,791
311,618,887,78
312,671,418,348
313,733,793,778
314,713,191,494
315,846,711,426
316,624,890,437
317,933,484,240
318,522,916,305
319,584,620,428
320,439,11,281
321,1008,524,376
322,917,781,737
323,579,543,625
324,993,934,766
325,626,664,146
326,831,549,266
327,793,405,524
328,567,250,146
329,336,192,507
330,647,106,227
331,660,608,880
332,670,962,94
333,456,391,654
334,761,495,757
335,658,443,329
336,821,544,480
337,655,272,387
338,999,368,556
339,620,983,451
340,1054,496,811
341,749,666,746
342,321,11,847
343,615,553,368
344,735,597,304
345,545,10,885
346,750,843,143
347,681,767,427
348,851,724,528
349,817,516,777
350,1217,715,585
351,753,358,205
352,737,426,160
353,844,145,19
354,1014,293,843
355,553,357,322
356,815,598,419
357,1233,520,987
358,593,528,513
359,889,463,611
360,863,286,695
361,598,764,714
362,1041,675,597
363,474,739,497
364,728,506,855
365,727,225,378
366,673,837,624
367,1043,980,86
368,759,107,267
369,814,991,481
370,855,519,538
371,644,968,404
372,745,18,946
373,283,178,109
374,845,704,451
375,633,280,370
376,791,920,411
377,925,879,846
378,495,215,224
379,390,404,42
380,484,217,822
381,882,918,183
382,973,686,676
383,507,723,308
384,1141,799,877
385,826,519,906
386,833,499,388
387,716,397,944
388,992,791,986
389,724,351,182
390,764,5,416
391,888,362,630
392,610,398,815
393,786,975,98
394,503,552,298
395,993,407,278
396,986,250,863
397,667,553,695
398,546,249,872
399,753,636,326
400,381,312,16
401,621,354,727
